optimizer,mean,std,min,max,count,median,p75,p90
AdamW,0.4358974435987572,0.262860832817472,0.0,1.0,96,0.3461538553237915,0.5576923340559006,0.8846153914928436
Adan,0.4551282135459284,0.2703370391784597,0.0,1.0,96,0.3846153914928436,0.692307710647583,0.8461538553237915
Muon,0.29326923765862983,0.12838381966892595,0.1538461595773697,0.692307710647583,96,0.2307692319154739,0.3846153914928436,0.4615384638309479
